model	metric	value
RP3beta_neighborhood=509_alpha=0$4887105314052429_beta=0$856723326810181_normalize_similarity=False	F1	0.09536494300733403
RP3beta_neighborhood=509_alpha=0$4887105314052429_beta=0$856723326810181_normalize_similarity=False	MAP	0.1390615345690849
RP3beta_neighborhood=509_alpha=0$4887105314052429_beta=0$856723326810181_normalize_similarity=False	MAR	0.05721555165312184
RP3beta_neighborhood=509_alpha=0$4887105314052429_beta=0$856723326810181_normalize_similarity=False	MRR	0.2857728773836156
RP3beta_neighborhood=509_alpha=0$4887105314052429_beta=0$856723326810181_normalize_similarity=False	ACLT	4.953020134228188
RP3beta_neighborhood=509_alpha=0$4887105314052429_beta=0$856723326810181_normalize_similarity=False	APLT	0.49530201342281877
RP3beta_neighborhood=509_alpha=0$4887105314052429_beta=0$856723326810181_normalize_similarity=False	ARP	32.00536912751678
RP3beta_neighborhood=509_alpha=0$4887105314052429_beta=0$856723326810181_normalize_similarity=False	PopREO	0.06790308106491179
RP3beta_neighborhood=509_alpha=0$4887105314052429_beta=0$856723326810181_normalize_similarity=False	PopRSP	0.1136109543135113
RP3beta_neighborhood=509_alpha=0$4887105314052429_beta=0$856723326810181_normalize_similarity=False	ItemCoverage	1081.0
RP3beta_neighborhood=509_alpha=0$4887105314052429_beta=0$856723326810181_normalize_similarity=False	UserCoverage	596.0
RP3beta_neighborhood=509_alpha=0$4887105314052429_beta=0$856723326810181_normalize_similarity=False	Gini	0.2532564768708957
RP3beta_neighborhood=509_alpha=0$4887105314052429_beta=0$856723326810181_normalize_similarity=False	SEntropy	9.242650892504983
RP3beta_neighborhood=509_alpha=0$4887105314052429_beta=0$856723326810181_normalize_similarity=False	EFD	1.366917137399498
RP3beta_neighborhood=509_alpha=0$4887105314052429_beta=0$856723326810181_normalize_similarity=False	EPC	0.12127384592518894
RP3beta_neighborhood=720_alpha=1$4833703230264375_beta=0$20222923533369985_normalize_similarity=False	nDCG	0.2271838488925029
RP3beta_neighborhood=720_alpha=1$4833703230264375_beta=0$20222923533369985_normalize_similarity=False	Recall	0.1560695062815394
RP3beta_neighborhood=720_alpha=1$4833703230264375_beta=0$20222923533369985_normalize_similarity=False	Precision	0.22500000000000003
RP3beta_neighborhood=720_alpha=1$4833703230264375_beta=0$20222923533369985_normalize_similarity=False	nDCGRendle2020	0.26524189293328015
RP3beta_neighborhood=720_alpha=1$4833703230264375_beta=0$20222923533369985_normalize_similarity=False	HR	0.7684563758389261
RP3beta_neighborhood=720_alpha=1$4833703230264375_beta=0$20222923533369985_normalize_similarity=False	F1	0.15477802922729564
RP3beta_neighborhood=720_alpha=1$4833703230264375_beta=0$20222923533369985_normalize_similarity=False	MAP	0.2619904522211569
RP3beta_neighborhood=720_alpha=1$4833703230264375_beta=0$20222923533369985_normalize_similarity=False	MAR	0.09647137381560046
RP3beta_neighborhood=720_alpha=1$4833703230264375_beta=0$20222923533369985_normalize_similarity=False	MRR	0.45751571322041124
RP3beta_neighborhood=720_alpha=1$4833703230264375_beta=0$20222923533369985_normalize_similarity=False	ACLT	0.6728187919463087
RP3beta_neighborhood=720_alpha=1$4833703230264375_beta=0$20222923533369985_normalize_similarity=False	APLT	0.06728187919463087
RP3beta_neighborhood=720_alpha=1$4833703230264375_beta=0$20222923533369985_normalize_similarity=False	ARP	98.61543624161074
RP3beta_neighborhood=720_alpha=1$4833703230264375_beta=0$20222923533369985_normalize_similarity=False	PopREO	0.9353427321341761
RP3beta_neighborhood=720_alpha=1$4833703230264375_beta=0$20222923533369985_normalize_similarity=False	PopRSP	0.889455598218456
RP3beta_neighborhood=720_alpha=1$4833703230264375_beta=0$20222923533369985_normalize_similarity=False	ItemCoverage	582.0
RP3beta_neighborhood=720_alpha=1$4833703230264375_beta=0$20222923533369985_normalize_similarity=False	UserCoverage	596.0
RP3beta_neighborhood=720_alpha=1$4833703230264375_beta=0$20222923533369985_normalize_similarity=False	Gini	0.0925898462870749
RP3beta_neighborhood=720_alpha=1$4833703230264375_beta=0$20222923533369985_normalize_similarity=False	SEntropy	7.747298444665998
RP3beta_neighborhood=720_alpha=1$4833703230264375_beta=0$20222923533369985_normalize_similarity=False	EFD	2.117198394976335
RP3beta_neighborhood=720_alpha=1$4833703230264375_beta=0$20222923533369985_normalize_similarity=False	EPC	0.19472911650732266
RP3beta_neighborhood=507_alpha=1$0180281935718316_beta=0$41875971052261285_normalize_similarity=True	nDCG	0.27001336102896256
RP3beta_neighborhood=507_alpha=1$0180281935718316_beta=0$41875971052261285_normalize_similarity=True	Recall	0.18109374370579828
RP3beta_neighborhood=507_alpha=1$0180281935718316_beta=0$41875971052261285_normalize_similarity=True	Precision	0.25520134228187924
RP3beta_neighborhood=507_alpha=1$0180281935718316_beta=0$41875971052261285_normalize_similarity=True	nDCGRendle2020	0.3112251176032954
