model	metric	value
EASER_neighborhood=1862_l2_norm=75298605$75037934	APLT	0.0
EASER_neighborhood=1862_l2_norm=75298605$75037934	ARP	175.41627516778524
EASER_neighborhood=1862_l2_norm=75298605$75037934	PopREO	1.0
EASER_neighborhood=1862_l2_norm=75298605$75037934	PopRSP	1.0
EASER_neighborhood=1862_l2_norm=75298605$75037934	ItemCoverage	53.0
EASER_neighborhood=1862_l2_norm=75298605$75037934	UserCoverage	596.0
EASER_neighborhood=1862_l2_norm=75298605$75037934	Gini	0.010539725701344205
EASER_neighborhood=1862_l2_norm=75298605$75037934	SEntropy	4.768185047458024
EASER_neighborhood=1862_l2_norm=75298605$75037934	EFD	1.657154007445711
EASER_neighborhood=1862_l2_norm=75298605$75037934	EPC	0.144871640890557
EASER_neighborhood=1862_l2_norm=67855082$99364877	nDCG	0.19842648541349636
EASER_neighborhood=1862_l2_norm=67855082$99364877	Recall	0.11254962408518004
EASER_neighborhood=1862_l2_norm=67855082$99364877	Precision	0.1783557046979866
EASER_neighborhood=1862_l2_norm=67855082$99364877	nDCGRendle2020	0.22446822162004862
EASER_neighborhood=1862_l2_norm=67855082$99364877	HR	0.6812080536912751
EASER_neighborhood=1862_l2_norm=67855082$99364877	F1	0.11406957953655765
EASER_neighborhood=1862_l2_norm=67855082$99364877	MAP	0.2336928065409609
EASER_neighborhood=1862_l2_norm=67855082$99364877	MAR	0.07552308095792169
EASER_neighborhood=1862_l2_norm=67855082$99364877	MRR	0.44731809949930756
EASER_neighborhood=1862_l2_norm=67855082$99364877	ACLT	0.0
EASER_neighborhood=1862_l2_norm=67855082$99364877	APLT	0.0
EASER_neighborhood=1862_l2_norm=67855082$99364877	ARP	175.41493288590604
EASER_neighborhood=1862_l2_norm=67855082$99364877	PopREO	1.0
EASER_neighborhood=1862_l2_norm=67855082$99364877	PopRSP	1.0
EASER_neighborhood=1862_l2_norm=67855082$99364877	ItemCoverage	53.0
EASER_neighborhood=1862_l2_norm=67855082$99364877	UserCoverage	596.0
EASER_neighborhood=1862_l2_norm=67855082$99364877	Gini	0.010541348556920793
EASER_neighborhood=1862_l2_norm=67855082$99364877	SEntropy	4.768453293504815
EASER_neighborhood=1862_l2_norm=67855082$99364877	EFD	1.6580428611302902
EASER_neighborhood=1862_l2_norm=67855082$99364877	EPC	0.14495395768052358
EASER_neighborhood=1862_l2_norm=65314571$02427867	nDCG	0.19842648541349636
EASER_neighborhood=1862_l2_norm=65314571$02427867	Recall	0.11254962408518004
EASER_neighborhood=1862_l2_norm=65314571$02427867	Precision	0.1783557046979866
EASER_neighborhood=1862_l2_norm=65314571$02427867	nDCGRendle2020	0.22446822162004862
EASER_neighborhood=1862_l2_norm=65314571$02427867	HR	0.6812080536912751
EASER_neighborhood=1862_l2_norm=65314571$02427867	F1	0.11406957953655765
EASER_neighborhood=1862_l2_norm=65314571$02427867	MAP	0.2336928065409609
EASER_neighborhood=1862_l2_norm=65314571$02427867	MAR	0.07552308095792169
EASER_neighborhood=1862_l2_norm=65314571$02427867	MRR	0.44731809949930756
EASER_neighborhood=1862_l2_norm=65314571$02427867	ACLT	0.0
EASER_neighborhood=1862_l2_norm=65314571$02427867	APLT	0.0
EASER_neighborhood=1862_l2_norm=65314571$02427867	ARP	175.41493288590604
EASER_neighborhood=1862_l2_norm=65314571$02427867	PopREO	1.0
EASER_neighborhood=1862_l2_norm=65314571$02427867	PopRSP	1.0
EASER_neighborhood=1862_l2_norm=65314571$02427867	ItemCoverage	53.0
EASER_neighborhood=1862_l2_norm=65314571$02427867	UserCoverage	596.0
EASER_neighborhood=1862_l2_norm=65314571$02427867	Gini	0.010541348556920793
EASER_neighborhood=1862_l2_norm=65314571$02427867	SEntropy	4.768453293504815
EASER_neighborhood=1862_l2_norm=65314571$02427867	EFD	1.6580428611302902
EASER_neighborhood=1862_l2_norm=65314571$02427867	EPC	0.14495395768052358
EASER_neighborhood=1862_l2_norm=94715397$59319083	nDCG	0.1982997091097004
EASER_neighborhood=1862_l2_norm=94715397$59319083	Recall	0.1124874814055877
EASER_neighborhood=1862_l2_norm=94715397$59319083	Precision	0.17818791946308726
EASER_neighborhood=1862_l2_norm=94715397$59319083	nDCGRendle2020	0.22436147533112424
EASER_neighborhood=1862_l2_norm=94715397$59319083	HR	0.6812080536912751
EASER_neighborhood=1862_l2_norm=94715397$59319083	F1	0.11397888481499042
EASER_neighborhood=1862_l2_norm=94715397$59319083	MAP	0.23367602801747098
EASER_neighborhood=1862_l2_norm=94715397$59319083	MAR	0.07551686668996246
EASER_neighborhood=1862_l2_norm=94715397$59319083	MRR	0.44731809949930756
EASER_neighborhood=1862_l2_norm=94715397$59319083	ACLT	0.0
EASER_neighborhood=1862_l2_norm=94715397$59319083	APLT	0.0
EASER_neighborhood=1862_l2_norm=94715397$59319083	ARP	175.41627516778524
EASER_neighborhood=1862_l2_norm=94715397$59319083	PopREO	1.0
EASER_neighborhood=1862_l2_norm=94715397$59319083	PopRSP	1.0
EASER_neighborhood=1862_l2_norm=94715397$59319083	ItemCoverage	53.0
EASER_neighborhood=1862_l2_norm=94715397$59319083	UserCoverage	596.0
EASER_neighborhood=1862_l2_norm=94715397$59319083	Gini	0.010539725701344205
EASER_neighborhood=1862_l2_norm=94715397$59319083	SEntropy	4.768185047458024
EASER_neighborhood=1862_l2_norm=94715397$59319083	EFD	1.657154007445711
EASER_neighborhood=1862_l2_norm=94715397$59319083	EPC	0.144871640890557
EASER_neighborhood=1862_l2_norm=99623163$26251854	nDCG	0.1982997091097004
EASER_neighborhood=1862_l2_norm=99623163$26251854	Recall	0.1124874814055877
EASER_neighborhood=1862_l2_norm=99623163$26251854	Precision	0.17818791946308726
EASER_neighborhood=1862_l2_norm=99623163$26251854	nDCGRendle2020	0.22436147533112424
EASER_neighborhood=1862_l2_norm=99623163$26251854	HR	0.6812080536912751
EASER_neighborhood=1862_l2_norm=99623163$26251854	F1	0.11397888481499042
EASER_neighborhood=1862_l2_norm=99623163$26251854	MAP	0.23367602801747098
EASER_neighborhood=1862_l2_norm=99623163$26251854	MAR	0.07551686668996246
EASER_neighborhood=1862_l2_norm=99623163$26251854	MRR	0.44731809949930756
EASER_neighborhood=1862_l2_norm=99623163$26251854	ACLT	0.0
EASER_neighborhood=1862_l2_norm=99623163$26251854	APLT	0.0
EASER_neighborhood=1862_l2_norm=99623163$26251854	ARP	175.41627516778524
EASER_neighborhood=1862_l2_norm=99623163$26251854	PopREO	1.0
EASER_neighborhood=1862_l2_norm=99623163$26251854	PopRSP	1.0
EASER_neighborhood=1862_l2_norm=99623163$26251854	ItemCoverage	53.0
EASER_neighborhood=1862_l2_norm=99623163$26251854	UserCoverage	596.0
EASER_neighborhood=1862_l2_norm=99623163$26251854	Gini	0.010539725701344205
EASER_neighborhood=1862_l2_norm=99623163$26251854	SEntropy	4.768185047458024
EASER_neighborhood=1862_l2_norm=99623163$26251854	EFD	1.657154007445711
EASER_neighborhood=1862_l2_norm=99623163$26251854	EPC	0.144871640890557
EASER_neighborhood=1862_l2_norm=66207192$32507165	nDCG	0.19842648541349636
EASER_neighborhood=1862_l2_norm=66207192$32507165	Recall	0.11254962408518004
EASER_neighborhood=1862_l2_norm=66207192$32507165	Precision	0.1783557046979866
EASER_neighborhood=1862_l2_norm=66207192$32507165	nDCGRendle2020	0.22446822162004862
EASER_neighborhood=1862_l2_norm=66207192$32507165	HR	0.6812080536912751
EASER_neighborhood=1862_l2_norm=66207192$32507165	F1	0.11406957953655765
EASER_neighborhood=1862_l2_norm=66207192$32507165	MAP	0.2336928065409609
EASER_neighborhood=1862_l2_norm=66207192$32507165	MAR	0.07552308095792169
EASER_neighborhood=1862_l2_norm=66207192$32507165	MRR	0.44731809949930756
EASER_neighborhood=1862_l2_norm=66207192$32507165	ACLT	0.0
EASER_neighborhood=1862_l2_norm=66207192$32507165	APLT	0.0
EASER_neighborhood=1862_l2_norm=66207192$32507165	ARP	175.41493288590604
EASER_neighborhood=1862_l2_norm=66207192$32507165	PopREO	1.0
EASER_neighborhood=1862_l2_norm=66207192$32507165	PopRSP	1.0
EASER_neighborhood=1862_l2_norm=66207192$32507165	ItemCoverage	53.0
EASER_neighborhood=1862_l2_norm=66207192$32507165	UserCoverage	596.0
EASER_neighborhood=1862_l2_norm=66207192$32507165	Gini	0.010541348556920793
EASER_neighborhood=1862_l2_norm=66207192$32507165	SEntropy	4.768453293504815
EASER_neighborhood=1862_l2_norm=66207192$32507165	EFD	1.6580428611302902
EASER_neighborhood=1862_l2_norm=66207192$32507165	EPC	0.14495395768052358
EASER_neighborhood=1862_l2_norm=85597542$39503306	nDCG	0.1982997091097004
EASER_neighborhood=1862_l2_norm=85597542$39503306	Recall	0.1124874814055877
EASER_neighborhood=1862_l2_norm=85597542$39503306	Precision	0.17818791946308726
EASER_neighborhood=1862_l2_norm=85597542$39503306	nDCGRendle2020	0.22436147533112424
EASER_neighborhood=1862_l2_norm=85597542$39503306	HR	0.6812080536912751
EASER_neighborhood=1862_l2_norm=85597542$39503306	F1	0.11397888481499042
EASER_neighborhood=1862_l2_norm=85597542$39503306	MAP	0.23367602801747098
EASER_neighborhood=1862_l2_norm=85597542$39503306	MAR	0.07551686668996246
EASER_neighborhood=1862_l2_norm=85597542$39503306	MRR	0.44731809949930756
EASER_neighborhood=1862_l2_norm=85597542$39503306	ACLT	0.0
EASER_neighborhood=1862_l2_norm=85597542$39503306	APLT	0.0
EASER_neighborhood=1862_l2_norm=85597542$39503306	ARP	175.41627516778524
EASER_neighborhood=1862_l2_norm=85597542$39503306	PopREO	1.0
EASER_neighborhood=1862_l2_norm=85597542$39503306	PopRSP	1.0
EASER_neighborhood=1862_l2_norm=85597542$39503306	ItemCoverage	53.0
EASER_neighborhood=1862_l2_norm=85597542$39503306	UserCoverage	596.0
EASER_neighborhood=1862_l2_norm=85597542$39503306	Gini	0.010539725701344205
EASER_neighborhood=1862_l2_norm=85597542$39503306	SEntropy	4.768185047458024
EASER_neighborhood=1862_l2_norm=85597542$39503306	EFD	1.657154007445711
EASER_neighborhood=1862_l2_norm=85597542$39503306	EPC	0.144871640890557
