model	metric	value
EASER_neighborhood=1861_l2_norm=75298605$75037934	ARP	119.92499999999998
EASER_neighborhood=1861_l2_norm=75298605$75037934	PopREO	1.0
EASER_neighborhood=1861_l2_norm=75298605$75037934	PopRSP	1.0
EASER_neighborhood=1861_l2_norm=75298605$75037934	ItemCoverage	187.0
EASER_neighborhood=1861_l2_norm=75298605$75037934	UserCoverage	596.0
EASER_neighborhood=1861_l2_norm=75298605$75037934	Gini	0.04161488778234801
EASER_neighborhood=1861_l2_norm=75298605$75037934	SEntropy	6.667752271035014
EASER_neighborhood=1861_l2_norm=75298605$75037934	EFD	1.0502648037863551
EASER_neighborhood=1861_l2_norm=75298605$75037934	EPC	0.09598600388232825
EASER_neighborhood=1861_l2_norm=67855082$99364877	nDCG	0.24584807167467052
EASER_neighborhood=1861_l2_norm=67855082$99364877	Recall	0.2951915797790298
EASER_neighborhood=1861_l2_norm=67855082$99364877	Precision	0.10030201342281879
EASER_neighborhood=1861_l2_norm=67855082$99364877	nDCGRendle2020	0.24864494209539448
EASER_neighborhood=1861_l2_norm=67855082$99364877	HR	0.9026845637583892
EASER_neighborhood=1861_l2_norm=67855082$99364877	F1	0.12582830648263482
EASER_neighborhood=1861_l2_norm=67855082$99364877	MAP	0.14703316559225196
EASER_neighborhood=1861_l2_norm=67855082$99364877	MAR	0.1917780465747239
EASER_neighborhood=1861_l2_norm=67855082$99364877	MRR	0.4511029660797561
EASER_neighborhood=1861_l2_norm=67855082$99364877	ACLT	0.0
EASER_neighborhood=1861_l2_norm=67855082$99364877	APLT	0.0
EASER_neighborhood=1861_l2_norm=67855082$99364877	ARP	119.92332214765099
EASER_neighborhood=1861_l2_norm=67855082$99364877	PopREO	1.0
EASER_neighborhood=1861_l2_norm=67855082$99364877	PopRSP	1.0
EASER_neighborhood=1861_l2_norm=67855082$99364877	ItemCoverage	187.0
EASER_neighborhood=1861_l2_norm=67855082$99364877	UserCoverage	596.0
EASER_neighborhood=1861_l2_norm=67855082$99364877	Gini	0.04162149094320533
EASER_neighborhood=1861_l2_norm=67855082$99364877	SEntropy	6.668036968850452
EASER_neighborhood=1861_l2_norm=67855082$99364877	EFD	1.0502716335160207
EASER_neighborhood=1861_l2_norm=67855082$99364877	EPC	0.09598665745284203
EASER_neighborhood=1861_l2_norm=65314571$02427867	nDCG	0.24584884063952567
EASER_neighborhood=1861_l2_norm=65314571$02427867	Recall	0.2951915797790298
EASER_neighborhood=1861_l2_norm=65314571$02427867	Precision	0.10030201342281879
EASER_neighborhood=1861_l2_norm=65314571$02427867	nDCGRendle2020	0.24864568104058235
EASER_neighborhood=1861_l2_norm=65314571$02427867	HR	0.9026845637583892
EASER_neighborhood=1861_l2_norm=65314571$02427867	F1	0.12582830648263482
EASER_neighborhood=1861_l2_norm=65314571$02427867	MAP	0.14703404867243566
EASER_neighborhood=1861_l2_norm=65314571$02427867	MAR	0.19178475798411987
EASER_neighborhood=1861_l2_norm=65314571$02427867	MRR	0.4511029660797561
EASER_neighborhood=1861_l2_norm=65314571$02427867	ACLT	0.0
EASER_neighborhood=1861_l2_norm=65314571$02427867	APLT	0.0
EASER_neighborhood=1861_l2_norm=65314571$02427867	ARP	119.92144295302012
EASER_neighborhood=1861_l2_norm=65314571$02427867	PopREO	1.0
EASER_neighborhood=1861_l2_norm=65314571$02427867	PopRSP	1.0
EASER_neighborhood=1861_l2_norm=65314571$02427867	ItemCoverage	187.0
EASER_neighborhood=1861_l2_norm=65314571$02427867	UserCoverage	596.0
EASER_neighborhood=1861_l2_norm=65314571$02427867	Gini	0.04162585696759746
EASER_neighborhood=1861_l2_norm=65314571$02427867	SEntropy	6.668210844258572
EASER_neighborhood=1861_l2_norm=65314571$02427867	EFD	1.0502731882606038
EASER_neighborhood=1861_l2_norm=65314571$02427867	EPC	0.09598680620770511
EASER_neighborhood=1861_l2_norm=94715397$59319083	nDCG	0.24584642791443212
EASER_neighborhood=1861_l2_norm=94715397$59319083	Recall	0.2951915797790298
EASER_neighborhood=1861_l2_norm=94715397$59319083	Precision	0.10030201342281879
EASER_neighborhood=1861_l2_norm=94715397$59319083	nDCGRendle2020	0.24864030839952372
EASER_neighborhood=1861_l2_norm=94715397$59319083	HR	0.9026845637583892
EASER_neighborhood=1861_l2_norm=94715397$59319083	F1	0.12582830648263482
EASER_neighborhood=1861_l2_norm=94715397$59319083	MAP	0.14702063370872182
EASER_neighborhood=1861_l2_norm=94715397$59319083	MAR	0.1917728771595316
EASER_neighborhood=1861_l2_norm=94715397$59319083	MRR	0.4511029660797561
EASER_neighborhood=1861_l2_norm=94715397$59319083	ACLT	0.0
EASER_neighborhood=1861_l2_norm=94715397$59319083	APLT	0.0
EASER_neighborhood=1861_l2_norm=94715397$59319083	ARP	119.92516778523489
EASER_neighborhood=1861_l2_norm=94715397$59319083	PopREO	1.0
EASER_neighborhood=1861_l2_norm=94715397$59319083	PopRSP	1.0
EASER_neighborhood=1861_l2_norm=94715397$59319083	ItemCoverage	187.0
EASER_neighborhood=1861_l2_norm=94715397$59319083	UserCoverage	596.0
EASER_neighborhood=1861_l2_norm=94715397$59319083	Gini	0.041614382622500945
EASER_neighborhood=1861_l2_norm=94715397$59319083	SEntropy	6.667740924945908
EASER_neighborhood=1861_l2_norm=94715397$59319083	EFD	1.0502285232538715
EASER_neighborhood=1861_l2_norm=94715397$59319083	EPC	0.09598269096730404
EASER_neighborhood=1861_l2_norm=99623163$26251854	nDCG	0.24584328127105087
EASER_neighborhood=1861_l2_norm=99623163$26251854	Recall	0.2951915797790298
EASER_neighborhood=1861_l2_norm=99623163$26251854	Precision	0.10030201342281879
EASER_neighborhood=1861_l2_norm=99623163$26251854	nDCGRendle2020	0.2486379154458224
EASER_neighborhood=1861_l2_norm=99623163$26251854	HR	0.9026845637583892
EASER_neighborhood=1861_l2_norm=99623163$26251854	F1	0.12582830648263482
EASER_neighborhood=1861_l2_norm=99623163$26251854	MAP	0.14701774898012182
EASER_neighborhood=1861_l2_norm=99623163$26251854	MAR	0.19176472759097934
EASER_neighborhood=1861_l2_norm=99623163$26251854	MRR	0.4510985506788377
EASER_neighborhood=1861_l2_norm=99623163$26251854	ACLT	0.0
EASER_neighborhood=1861_l2_norm=99623163$26251854	APLT	0.0
EASER_neighborhood=1861_l2_norm=99623163$26251854	ARP	119.92459731543624
EASER_neighborhood=1861_l2_norm=99623163$26251854	PopREO	1.0
EASER_neighborhood=1861_l2_norm=99623163$26251854	PopRSP	1.0
EASER_neighborhood=1861_l2_norm=99623163$26251854	ItemCoverage	187.0
EASER_neighborhood=1861_l2_norm=99623163$26251854	UserCoverage	596.0
EASER_neighborhood=1861_l2_norm=99623163$26251854	Gini	0.04161330013711462
EASER_neighborhood=1861_l2_norm=99623163$26251854	SEntropy	6.667696071928309
EASER_neighborhood=1861_l2_norm=99623163$26251854	EFD	1.0502220750952205
EASER_neighborhood=1861_l2_norm=99623163$26251854	EPC	0.09598207517898592
EASER_neighborhood=1861_l2_norm=66207192$32507165	nDCG	0.24584884063952567
EASER_neighborhood=1861_l2_norm=66207192$32507165	Recall	0.2951915797790298
EASER_neighborhood=1861_l2_norm=66207192$32507165	Precision	0.10030201342281879
EASER_neighborhood=1861_l2_norm=66207192$32507165	nDCGRendle2020	0.24864568104058235
EASER_neighborhood=1861_l2_norm=66207192$32507165	HR	0.9026845637583892
EASER_neighborhood=1861_l2_norm=66207192$32507165	F1	0.12582830648263482
EASER_neighborhood=1861_l2_norm=66207192$32507165	MAP	0.14703404867243566
EASER_neighborhood=1861_l2_norm=66207192$32507165	MAR	0.19178475798411987
EASER_neighborhood=1861_l2_norm=66207192$32507165	MRR	0.4511029660797561
EASER_neighborhood=1861_l2_norm=66207192$32507165	ACLT	0.0
EASER_neighborhood=1861_l2_norm=66207192$32507165	APLT	0.0
EASER_neighborhood=1861_l2_norm=66207192$32507165	ARP	119.92144295302012
EASER_neighborhood=1861_l2_norm=66207192$32507165	PopREO	1.0
EASER_neighborhood=1861_l2_norm=66207192$32507165	PopRSP	1.0
EASER_neighborhood=1861_l2_norm=66207192$32507165	ItemCoverage	187.0
EASER_neighborhood=1861_l2_norm=66207192$32507165	UserCoverage	596.0
EASER_neighborhood=1861_l2_norm=66207192$32507165	Gini	0.04162585696759746
EASER_neighborhood=1861_l2_norm=66207192$32507165	SEntropy	6.668210844258572
EASER_neighborhood=1861_l2_norm=66207192$32507165	EFD	1.0502731882606038
EASER_neighborhood=1861_l2_norm=66207192$32507165	EPC	0.09598680620770511
EASER_neighborhood=1861_l2_norm=85597542$39503306	nDCG	0.24584642791443212
EASER_neighborhood=1861_l2_norm=85597542$39503306	Recall	0.2951915797790298
EASER_neighborhood=1861_l2_norm=85597542$39503306	Precision	0.10030201342281879
EASER_neighborhood=1861_l2_norm=85597542$39503306	nDCGRendle2020	0.24864030839952372
